FID_J09229EDC426947CC981F6871CF,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,TARGET_FID,B25024e1,B25024m1,B25024e10,B25024m10,B25033e1,B25033m1,B25033e2,B25033m2,B25033e6,B25033m6,B25033e8,B25033m8,B25033e12,B25033m12,JoinID,TotalPopInMobileHomes,GEO_ID_1,STATE_1,COUNTY_1,TRACT_1,BLKGRP_1,NAME_1,LSAD_1,CENSUSAREA_1,FID_CA_SHP_CA_SHP_0,Shape__Area,Shape__Length,AnalysisArea
385,1500000US060650317022,6,65,31702,2,2,BG,1.40999997,8073,779.0,22.0,0.0,12.0,2532.0,221.0,1933.0,324.0,0.0,12.0,599.0,273.0,0.0,12.0,06065031702,0.0,1500000US060650317022,6,65,31702,2,2,BG,1.40999997,17886,5345710.0703125,10916.1548441,1.41845826
386,1500000US060650404041,6,65,40404,1,1,BG,1.02699995,8087,946.0,36.0,0.0,12.0,3372.0,282.0,2640.0,355.0,0.0,12.0,732.0,318.0,0.0,12.0,06065040404,0.0,1500000US060650404041,6,65,40404,1,1,BG,1.02699995,17892,3966879.40625,8899.33094584,1.05073023
392,1500000US060650406111,6,65,40611,1,1,BG,0.49399999,8098,1910.0,75.0,0.0,17.0,7613.0,421.0,5731.0,555.0,0.0,17.0,1882.0,498.0,0.0,17.0,06065040611,0.0,1500000US060650406111,6,65,40611,1,1,BG,0.49399999,17909,1867486.50390625,5791.17873825,0.49485803
393,1500000US060650406151,6,65,40615,1,1,BG,0.47400001,8100,2349.0,75.0,0.0,17.0,9599.0,860.0,6896.0,1286.0,0.0,17.0,2703.0,986.0,0.0,17.0,06065040615,0.0,1500000US060650406151,6,65,40615,1,1,BG,0.47400001,17912,1789319.0234375,5947.46343585,0.47397773
395,1500000US060650407011,6,65,40701,1,1,BG,0.73900002,8102,684.0,45.0,0.0,12.0,2227.0,183.0,2077.0,186.0,0.0,12.0,150.0,87.0,0.0,12.0,06065040701,0.0,1500000US060650407011,6,65,40701,1,1,BG,0.73900002,17917,3238485.609375,11029.67143868,0.85860113
396,1500000US060650407032,6,65,40703,2,2,BG,0.81099999,8104,976.0,51.0,0.0,12.0,2690.0,195.0,2094.0,253.0,0.0,12.0,596.0,224.0,0.0,12.0,06065040703,0.0,1500000US060650407032,6,65,40703,2,2,BG,0.81099999,17921,3038738.25390625,6916.292778,0.80550113
401,1500000US060650420143,6,65,42014,3,3,BG,0.57999998,8172,2988.0,57.0,0.0,19.0,11106.0,753.0,9450.0,827.0,0.0,19.0,1656.0,650.0,0.0,19.0,06065042014,0.0,1500000US060650420143,6,65,42014,3,3,BG,0.57999998,17933,2198270.88671875,6205.65079468,0.58329884
402,1500000US060650422071,6,65,42207,1,1,BG,0.41,8174,1253.0,41.0,0.0,12.0,3201.0,238.0,2401.0,254.0,0.0,12.0,800.0,238.0,0.0,12.0,06065042207,0.0,1500000US060650422071,6,65,42207,1,1,BG,0.41,17936,1532258.0078125,6377.81453893,0.40621611
403,1500000US060650422081,6,65,42208,1,1,BG,0.33700001,8175,932.0,18.0,0.0,12.0,2723.0,213.0,2318.0,168.0,0.0,12.0,405.0,212.0,0.0,12.0,06065042208,0.0,1500000US060650422081,6,65,42208,1,1,BG,0.33700001,17938,1146236.671875,6471.80885354,0.30379285
404,1500000US060650422101,6,65,42210,1,1,BG,0.17900001,8177,1977.0,37.0,0.0,12.0,4311.0,353.0,525.0,299.0,0.0,12.0,3786.0,399.0,0.0,12.0,06065042210,0.0,1500000US060650422101,6,65,42210,1,1,BG,0.17900001,17941,671119.1328125,5219.1120698,0.1776828
405,1500000US060650422122,6,65,42212,2,2,BG,0.52499998,8178,2063.0,42.0,0.0,17.0,6710.0,433.0,4142.0,774.0,0.0,17.0,2568.0,667.0,0.0,17.0,06065042212,0.0,1500000US060650422122,6,65,42212,2,2,BG,0.52499998,17944,1983310.92578125,6343.53268324,0.52565177
407,1500000US060650425062,6,65,42506,2,2,BG,0.78899997,8196,2946.0,69.0,0.0,17.0,9377.0,868.0,2965.0,783.0,0.0,17.0,6412.0,1282.0,0.0,17.0,06065042506,0.0,1500000US060650425062,6,65,42506,2,2,BG,0.78899997,19099,2955890.58984375,7923.15530408,0.78359853
410,1500000US060650425101,6,65,42510,1,1,BG,0.19400001,8200,1183.0,26.0,0.0,17.0,5550.0,495.0,3760.0,599.0,0.0,17.0,1790.0,650.0,0.0,17.0,06065042510,0.0,1500000US060650425101,6,65,42510,1,1,BG,0.19400001,19105,724755.109375,4077.81222884,0.19224709
411,1500000US060650425111,6,65,42511,1,1,BG,0.45199999,8201,848.0,24.0,0.0,12.0,3494.0,287.0,1556.0,305.0,0.0,12.0,1938.0,404.0,0.0,12.0,06065042511,0.0,1500000US060650425111,6,65,42511,1,1,BG,0.45199999,19107,1695400.4375,5950.40950959,0.44964269
412,1500000US060650425131,6,65,42513,1,1,BG,0.13699999,8203,803.0,25.0,0.0,12.0,3084.0,239.0,2417.0,301.0,0.0,12.0,667.0,241.0,0.0,12.0,06065042513,0.0,1500000US060650425131,6,65,42513,1,1,BG,0.13699999,19109,506352.171875,2873.89901134,0.1342347
413,1500000US060650425151,6,65,42515,1,1,BG,0.336,8205,1095.0,31.0,0.0,12.0,4313.0,524.0,619.0,278.0,0.0,12.0,3694.0,572.0,0.0,12.0,06065042515,0.0,1500000US060650425151,6,65,42515,1,1,BG,0.336,19113,1265449.98828125,5968.37558108,0.33544875
414,1500000US060650425161,6,65,42516,1,1,BG,0.25099999,8206,1060.0,22.0,0.0,12.0,4515.0,535.0,1742.0,519.0,0.0,12.0,2773.0,655.0,0.0,12.0,06065042516,0.0,1500000US060650425161,6,65,42516,1,1,BG,0.25099999,19114,945070.1875,3888.7199253,0.25062111
417,1500000US060650425201,6,65,42520,1,1,BG,0.574,8210,1365.0,31.0,0.0,12.0,4736.0,406.0,2239.0,400.0,0.0,12.0,2497.0,490.0,0.0,12.0,06065042520,0.0,1500000US060650425201,6,65,42520,1,1,BG,0.574,19119,2164691.15234375,7288.64765094,0.57392308
420,1500000US060650426191,6,65,42619,1,1,BG,1.09800005,8214,2916.0,123.0,0.0,19.0,11915.0,882.0,7225.0,1165.0,0.0,19.0,4690.0,1251.0,0.0,19.0,06065042619,0.0,1500000US060650426191,6,65,42619,1,1,BG,1.09800005,19125,4098570.73828125,8922.26868411,1.08901658
422,1500000US060650426221,6,65,42622,1,1,BG,1.92799997,8217,1366.0,35.0,0.0,12.0,4000.0,347.0,2621.0,399.0,0.0,12.0,1379.0,308.0,0.0,12.0,06065042622,0.0,1500000US060650426221,6,65,42622,1,1,BG,1.92799997,19129,7283248.53125,13398.48689844,1.93119537
430,1500000US060650408072,6,65,40807,2,2,BG,0.38,8106,1102.0,26.0,0.0,12.0,3370.0,275.0,2756.0,314.0,0.0,12.0,614.0,246.0,0.0,12.0,06065040807,0.0,1500000US060650408072,6,65,40807,2,2,BG,0.38,19542,1421670.7890625,5971.84455741,0.37712416
431,1500000US060650408083,6,65,40808,3,3,BG,0.322,8107,2296.0,73.0,0.0,17.0,7765.0,757.0,3733.0,897.0,0.0,17.0,4032.0,945.0,0.0,17.0,06065040808,0.0,1500000US060650408083,6,65,40808,3,3,BG,0.322,19544,1226695.15625,5721.06351959,0.32548972
433,1500000US060650408121,6,65,40812,1,1,BG,1.32299995,8109,1154.0,54.0,0.0,12.0,3855.0,381.0,2773.0,465.0,0.0,12.0,1082.0,485.0,0.0,12.0,06065040812,0.0,1500000US060650408121,6,65,40812,1,1,BG,1.32299995,19546,5023401.90625,9815.95155554,1.33203594
435,1500000US060650408152,6,65,40815,2,2,BG,0.25299999,8112,1295.0,34.0,0.0,12.0,3772.0,468.0,2423.0,450.0,0.0,12.0,1349.0,383.0,0.0,12.0,06065040815,0.0,1500000US060650408152,6,65,40815,2,2,BG,0.25299999,19551,970242.9921875,4229.00474591,0.25746478
436,1500000US060650408161,6,65,40816,1,1,BG,0.69099998,8113,994.0,24.0,0.0,12.0,3038.0,253.0,2248.0,214.0,0.0,12.0,790.0,289.0,0.0,12.0,06065040816,0.0,1500000US060650408161,6,65,40816,1,1,BG,0.69099998,19552,2587577.625,9542.25071495,0.68648891
437,1500000US060650408212,6,65,40821,2,2,BG,0.39199999,8114,2138.0,47.0,0.0,17.0,5401.0,546.0,2333.0,406.0,0.0,17.0,3068.0,447.0,0.0,17.0,06065040821,0.0,1500000US060650408212,6,65,40821,2,2,BG,0.39199999,19554,1450825.1328125,5093.20178101,0.38498635
438,1500000US060650409012,6,65,40901,2,2,BG,0.26699999,8115,2459.0,41.0,0.0,17.0,7027.0,649.0,3410.0,595.0,0.0,17.0,3617.0,693.0,0.0,17.0,06065040901,0.0,1500000US060650409012,6,65,40901,2,2,BG,0.26699999,19555,987814.3984375,4453.67404204,0.26199004
440,1500000US060650409032,6,65,40903,2,2,BG,0.18099999,8117,809.0,30.0,0.0,12.0,2749.0,331.0,1587.0,325.0,0.0,12.0,1162.0,378.0,0.0,12.0,06065040903,0.0,1500000US060650409032,6,65,40903,2,2,BG,0.18099999,19559,676077.15234375,4038.57421095,0.17930414
441,1500000US060650410011,6,65,41001,1,1,BG,0.189,8119,790.0,23.0,0.0,12.0,2937.0,334.0,1203.0,249.0,0.0,12.0,1734.0,313.0,0.0,12.0,06065041001,0.0,1500000US060650410011,6,65,41001,1,1,BG,0.189,19561,674770.484375,4139.85539408,0.17882155
